날짜,시도지역코드,발생건수(건)
20141217,43,1046
20141217,44,1208
20141217,45,1213
20141217,46,830
20141217,47,1803
20141217,48,2070
20141217,49,378
20141217,99,29702
20141218,11,6077
20141218,26,2301
20141218,27,1788
20141218,28,1280
20141218,29,778
20141218,30,1080
20141218,31,647
20141218,41,7287
20141218,42,982
20141218,43,1094
20141218,44,1426
20141218,45,1427
20141218,46,1059
20141218,47,1885
20141218,48,2019
20141218,49,471
20141218,99,31607
20141219,11,7477
20141219,26,2420
20141219,27,1954
20141219,28,1727
20141219,29,862
20141219,30,1198
20141219,31,654
20141219,41,8588
20141219,42,1039
20141219,43,1282
20141219,44,1616
20141219,45,1720
20141219,46,1276
20141219,47,2302
20141219,48,2382
20141219,49,443
20141219,99,36947
20141220,11,5467
20141220,26,1840
20141220,27,1598
20141220,28,1310
20141220,29,685
20141220,30,969
20141220,31,513
20141220,41,6508
20141220,42,599
20141220,43,928
20141220,44,1294
20141220,45,1153
20141220,46,942
20141220,47,1472
20141220,48,1795
20141220,49,365
20141220,99,27441
20141221,11,290
20141221,26,99
20141221,27,55
20141221,28,66
20141221,29,44
20141221,30,58
20141221,31,34
20141221,41,457
20141221,42,24
20141221,43,50
20141221,44,72
20141221,45,69
20141221,46,51
20141221,47,55
20141221,48,72
20141221,49,37
20141221,99,1533
20141222,11,8753
20141222,26,2965
20141222,27,2305
20141222,28,1832
20141222,29,1059
20141222,30,1471
20141222,31,777
20141222,41,9404
20141222,42,1353
20141222,43,1306
20141222,44,1628
20141222,45,1908
20141222,46,1465
20141222,47,2620
20141222,48,2839
20141222,49,517
20141222,99,42209
20141223,11,7654
20141223,26,2480
20141223,27,2080
20141223,28,1616
20141223,29,952
20141223,30,1271
20141223,31,639
20141223,41,8459
20141223,42,1185
20141223,43,1231
20141223,44,1657
20141223,45,1927
20141223,46,1447
20141223,47,2198
20141223,48,2465
20141223,49,462
20141223,99,37731
20141224,11,7915
20141224,26,2573
20141224,27,2062
20141224,28,1684
20141224,29,922
20141224,30,1302
20141224,31,677
20141224,41,8348
20141224,42,1165
20141224,43,1300
20141224,44,1719
20141224,45,1888
20141224,46,1404
20141224,47,2292
20141224,48,2480
20141224,49,425
20141224,99,38165
20141225,11,263
20141225,26,187
20141225,27,200
20141225,28,89
20141225,29,90
20141225,30,119
20141225,31,61
20141225,41,422
20141225,42,57
20141225,43,135
20141225,44,113
20141225,45,130
20141225,46,163
20141225,47,217
20141225,48,175
20141225,49,97
20141225,99,2518
20141226,11,9575
20141226,26,3346
20141226,27,2509
20141226,28,2073
20141226,29,1232
20141226,30,1745
20141226,31,815
20141226,41,11274
20141226,42,1398
20141226,43,1668
20141226,44,2288
20141226,45,2435
20141226,46,1809
20141226,47,2871
20141226,48,3314
20141226,49,518
20141226,99,48876
20141227,11,5603
20141227,26,1824
20141227,27,1637
20141227,28,1306
20141227,29,683
20141227,30,1031
20141227,31,529
20141227,41,6614
20141227,42,666
20141227,43,946
20141227,44,1293
20141227,45,1269
20141227,46,1004
20141227,47,1619
20141227,48,1781
20141227,49,300
20141227,99,28115
20141228,11,229
20141228,26,105
20141228,27,68
20141228,28,54
20141228,29,28
20141228,30,68
20141228,31,32
20141228,41,390
20141228,42,15
20141228,43,41
20141228,44,64
20141228,45,49
20141228,46,62
20141228,47,53
20141228,48,55
20141228,49,29
20141228,99,1342
20141229,11,9949
20141229,26,3390
20141229,27,2862
20141229,28,2248
20141229,29,1231
20141229,30,1689
20141229,31,884
20141229,41,11497
20141229,42,1524
20141229,43,1613
20141229,44,2151
20141229,45,2431
20141229,46,1859
20141229,47,2996
20141229,48,3226
20141229,49,686
20141229,99,50243
20141230,11,7848
