날짜,시도지역코드,발생건수(건)
20140202,42,152
20140202,43,223
20140202,44,320
20140202,45,315
20140202,46,471
20140202,47,337
20140202,48,229
20140202,49,76
20140202,99,7103
20140203,11,14218
20140203,26,4440
20140203,27,3754
20140203,28,5163
20140203,29,2600
20140203,30,2030
20140203,31,1876
20140203,41,17987
20140203,42,2195
20140203,43,2621
20140203,44,3533
20140203,45,3280
20140203,46,3668
20140203,47,4176
20140203,48,5134
20140203,49,957
20140203,99,77646
20140204,11,7747
20140204,26,2682
20140204,27,2235
20140204,28,2850
20140204,29,1494
20140204,30,1223
20140204,31,1072
20140204,41,9685
20140204,42,1238
20140204,43,1491
20140204,44,2008
20140204,45,1929
20140204,46,2199
20140204,47,2477
20140204,48,2873
20140204,49,527
20140204,99,43755
20140205,11,8751
20140205,26,2694
20140205,27,2402
20140205,28,3064
20140205,29,1552
20140205,30,1218
20140205,31,1132
20140205,41,10606
20140205,42,1249
20140205,43,1507
20140205,44,1931
20140205,45,2013
20140205,46,2205
20140205,47,2558
20140205,48,3056
20140205,49,519
20140205,99,46476
20140206,11,8513
20140206,26,2765
20140206,27,2366
20140206,28,3186
20140206,29,1713
20140206,30,1269
20140206,31,1144
20140206,41,11095
20140206,42,1369
20140206,43,1695
20140206,44,2183
20140206,45,2150
20140206,46,2203
20140206,47,2666
20140206,48,2954
20140206,49,520
20140206,99,47805
20140207,11,9060
20140207,26,2789
20140207,27,2588
20140207,28,3274
20140207,29,1667
20140207,30,1440
20140207,31,1135
20140207,41,11200
20140207,42,1239
20140207,43,1710
20140207,44,2212
20140207,45,2118
20140207,46,2476
20140207,47,2626
20140207,48,3316
20140207,49,558
20140207,99,49419
20140208,11,7988
20140208,26,2472
20140208,27,2584
20140208,28,2854
20140208,29,1672
20140208,30,1407
20140208,31,1043
20140208,41,10109
20140208,42,874
20140208,43,1517
20140208,44,1869
20140208,45,1797
20140208,46,2014
20140208,47,2356
20140208,48,2855
20140208,49,409
20140208,99,43830
20140209,11,759
20140209,26,160
20140209,27,306
20140209,28,377
20140209,29,300
20140209,30,178
20140209,31,165
20140209,41,1723
20140209,42,113
20140209,43,177
20140209,44,273
20140209,45,269
20140209,46,393
20140209,47,291
20140209,48,171
20140209,49,76
20140209,99,5732
20140210,11,11796
20140210,26,3408
20140210,27,3610
20140210,28,4424
20140210,29,2355
20140210,30,1896
20140210,31,1054
20140210,41,15238
20140210,42,1586
20140210,43,2379
20140210,44,2944
20140210,45,3011
20140210,46,3258
20140210,47,3451
20140210,48,4415
20140210,49,696
20140210,99,65543
20140211,11,7891
20140211,26,2647
20140211,27,2557
20140211,28,3114
20140211,29,1722
20140211,30,1372
20140211,31,981
20140211,41,10358
20140211,42,1312
20140211,43,1722
20140211,44,2142
20140211,45,2169
20140211,46,2402
20140211,47,2663
20140211,48,3078
20140211,49,516
20140211,99,46663
20140212,11,8266
20140212,26,2628
20140212,27,2549
20140212,28,3143
20140212,29,1676
20140212,30,1289
20140212,31,1100
20140212,41,10619
20140212,42,1368
20140212,43,1613
20140212,44,2070
20140212,45,2141
20140212,46,2311
20140212,47,2711
20140212,48,3061
20140212,49,449
20140212,99,47005
20140213,11,7797
20140213,26,2733
20140213,27,2605
20140213,28,3057
20140213,29,1726
20140213,30,1300
20140213,31,1047
20140213,41,10229
20140213,42,1082
20140213,43,1657
20140213,44,2047
20140213,45,2079
20140213,46,2318
20140213,47,2666
20140213,48,3078
20140213,49,499
20140213,99,45938
20140214,11,8413
20140214,26,2735
20140214,27,2623
20140214,28,3251
20140214,29,1713
20140214,30,1364
20140214,31,1060
20140214,41,11324
20140214,42,1340
20140214,43,1732
20140214,44,2191
20140214,45,2192
20140214,46,2344
20140214,47,2770
20140214,48,3117
20140214,49,551
20140214,99,48731
20140215,11,7415
20140215,26,2423
20140215,27,2697
20140215,28,2944
20140215,29,1741
20140215,30,1343
20140215,31,920
20140215,41,10013
20140215,42,995
20140215,43,1598
20140215,44,1960
20140215,45,1824
20140215,46,2072
20140215,47,2572
20140215,48,2986
20140215,49,357
20140215,99,43876
20140216,11,857
20140216,26,165
20140216,27,272
20140216,28,428
20140216,29,334
20140216,30,147
20140216,31,138
20140216,41,1780
20140216,42,101
20140216,43,221
20140216,44,273
20140216,45,290
20140216,46,371
20140216,47,313
20140216,48,215
20140216,49,45
20140216,99,5951
20140217,11,11706
20140217,26,3771
20140217,27,3902
20140217,28,4635
20140217,29,2369
20140217,30,1896
20140217,31,1457
20140217,41,15803
20140217,42,1928
20140217,43,2662
20140217,44,3299
20140217,45,3123
20140217,46,3274
20140217,47,4093
20140217,48,4786
20140217,49,691
20140217,99,69413
20140218,11,7825
20140218,26,2728
20140218,27,2860
20140218,28,3161
20140218,29,1722
20140218,30,1302
20140218,31,1024
20140218,41,10825
20140218,42,1179
20140218,43,1778
20140218,44,2219
20140218,45,2247
20140218,46,2569
20140218,47,2799
20140218,48,3280
20140218,49,502
20140218,99,48033
20140219,11,7947
20140219,26,2713
20140219,27,2698
20140219,28,2998
20140219,29,1622
20140219,30,1284
20140219,31,1102
20140219,41,10591
20140219,42,1318
20140219,43,1740
20140219,44,2098
20140219,45,2151
20140219,46,2352
20140219,47,2748
20140219,48,3541
20140219,49,488
20140219,99,47413
20140220,11,7781
20140220,26,2905
20140220,27,2742
20140220,28,3017
20140220,29,1775
20140220,30,1341
20140220,31,1047
20140220,41,10464
20140220,42,1265
20140220,43,1787
20140220,44,2256
20140220,45,2159
20140220,46,2550
20140220,47,2834
20140220,48,3363
20140220,49,509
20140220,99,47807
20140221,11,8244
20140221,26,3013
20140221,27,2705
20140221,28,3107
20140221,29,1783
20140221,30,1385
20140221,31,1148
20140221,41,11198
20140221,42,1322
20140221,43,1980
20140221,44,2352
20140221,45,2195
20140221,46,2451
20140221,47,2866
20140221,48,3640
20140221,49,509
20140221,99,49915
20140222,11,7119
20140222,26,2425
20140222,27,2491
20140222,28,2684
20140222,29,1678
20140222,30,1232
20140222,31,1032
20140222,41,9409
20140222,42,921
20140222,43,1581
20140222,44,1808
20140222,45,1593
20140222,46,2119
20140222,47,2515
20140222,48,2893
20140222,49,384
20140222,99,41894
20140223,11,661
20140223,26,172
20140223,27,334
20140223,28,341
20140223,29,256
20140223,30,167
20140223,31,173
20140223,41,1530
20140223,42,92
20140223,43,169
20140223,44,245
20140223,45,231
20140223,46,402
20140223,47,308
20140223,48,187
20140223,49,54
20140223,99,5323
20140224,11,10732
20140224,26,4004
20140224,27,3448
20140224,28,4175
20140224,29,2415
20140224,30,1739
20140224,31,1612
20140224,41,14378
20140224,42,1702
20140224,43,2492
20140224,44,3020
20140224,45,2979
20140224,46,3392
20140224,47,4074
20140224,48,4797
20140224,49,719
20140224,99,65692
20140225,11,7188
20140225,26,2758
20140225,27,2436
20140225,28,2794
20140225,29,1806
20140225,30,1266
20140225,31,1045
20140225,41,9596
20140225,42,1240
20140225,43,1729
20140225,44,2143
20140225,45,2043
20140225,46,2482
20140225,47,2719
20140225,48,3231
20140225,49,518
20140225,99,45015
20140226,11,7334
20140226,26,2484
20140226,27,2239
20140226,28,2639
20140226,29,1581
20140226,30,1185
20140226,31,981
20140226,41,9596
20140226,42,1225
20140226,43,1619
20140226,44,2027
20140226,45,2025
20140226,46,2299
20140226,47,2519
20140226,48,3091
20140226,49,438
20140226,99,43290
20140227,11,7075
20140227,26,3032
20140227,27,2539
20140227,28,2820
20140227,29,1783
20140227,30,1241
20140227,31,1117
20140227,41,9822
20140227,42,1215
20140227,43,1632
20140227,44,2121
20140227,45,2130
20140227,46,2412
20140227,47,2795
20140227,48,3431
20140227,49,513
20140227,99,45683
20140228,11,8089
20140228,26,3134
20140228,27,2597
20140228,28,2910
20140228,29,1727
20140228,30,1376
20140228,31,1205
20140228,41,10871
20140228,42,1378
20140228,43,1805
20140228,44,2337
20140228,45,2246
20140228,46,2436
20140228,47,2849
