날짜,시도지역코드,발생건수(건)
20140206,45,1774
20140206,46,1961
20140206,47,2803
20140206,48,3375
20140206,49,429
20140206,99,49299
20140207,11,10384
20140207,26,3209
20140207,27,2911
20140207,28,3151
20140207,29,1600
20140207,30,1835
20140207,31,1039
20140207,41,12078
20140207,42,1473
20140207,43,1733
20140207,44,2260
20140207,45,1926
20140207,46,2266
20140207,47,2777
20140207,48,3632
20140207,49,539
20140207,99,52833
20140208,11,8593
20140208,26,2930
20140208,27,2608
20140208,28,2726
20140208,29,1344
20140208,30,1553
20140208,31,922
20140208,41,10255
20140208,42,1081
20140208,43,1371
20140208,44,1945
20140208,45,1519
20140208,46,1745
20140208,47,2540
20140208,48,3227
20140208,49,394
20140208,99,44773
20140209,11,408
20140209,26,139
20140209,27,61
20140209,28,144
20140209,29,45
20140209,30,158
20140209,31,72
20140209,41,805
20140209,42,43
20140209,43,95
20140209,44,142
20140209,45,70
20140209,46,110
20140209,47,65
20140209,48,124
20140209,49,25
20140209,99,2506
20140210,11,12291
20140210,26,3902
20140210,27,3467
20140210,28,3816
20140210,29,1855
20140210,30,2102
20140210,31,861
20140210,41,14379
20140210,42,1644
20140210,43,2143
20140210,44,2899
20140210,45,2353
20140210,46,2914
20140210,47,3155
20140210,48,4592
20140210,49,579
20140210,99,62975
20140211,11,9374
20140211,26,2981
20140211,27,2782
20140211,28,2891
20140211,29,1459
20140211,30,1646
20140211,31,927
20140211,41,11066
20140211,42,1448
20140211,43,1575
20140211,44,2124
20140211,45,1748
20140211,46,2061
20140211,47,2626
20140211,48,3411
20140211,49,496
20140211,99,48630
20140212,11,8601
20140212,26,3061
20140212,27,2441
20140212,28,2612
20140212,29,1383
20140212,30,1538
20140212,31,948
20140212,41,10243
20140212,42,1499
20140212,43,1429
20140212,44,1953
20140212,45,1509
20140212,46,2041
20140212,47,2543
20140212,48,3334
20140212,49,474
20140212,99,45622
20140213,11,8347
20140213,26,2836
20140213,27,2228
20140213,28,2536
20140213,29,1339
20140213,30,1390
20140213,31,896
20140213,41,9698
20140213,42,1138
20140213,43,1319
20140213,44,1800
20140213,45,1591
20140213,46,1968
20140213,47,2394
20140213,48,3200
20140213,49,492
20140213,99,43189
20140214,11,9271
20140214,26,2970
20140214,27,2521
20140214,28,2687
20140214,29,1381
20140214,30,1579
20140214,31,908
20140214,41,10477
20140214,42,1411
20140214,43,1493
20140214,44,2011
20140214,45,1694
20140214,46,2139
20140214,47,2513
20140214,48,3053
20140214,49,499
20140214,99,46618
20140215,11,7706
20140215,26,2515
20140215,27,2322
20140215,28,2489
20140215,29,1240
20140215,30,1399
20140215,31,855
20140215,41,9441
20140215,42,1181
20140215,43,1389
20140215,44,1760
20140215,45,1328
20140215,46,1692
20140215,47,2244
20140215,48,2891
20140215,49,373
20140215,99,40841
20140216,11,420
20140216,26,162
20140216,27,50
20140216,28,177
20140216,29,39
20140216,30,117
20140216,31,76
20140216,41,822
20140216,42,33
20140216,43,109
20140216,44,158
20140216,45,51
20140216,46,86
20140216,47,93
20140216,48,106
20140216,49,38
20140216,99,2538
20140217,11,12363
20140217,26,4162
20140217,27,3468
20140217,28,3855
20140217,29,1925
20140217,30,2093
20140217,31,1266
20140217,41,14874
20140217,42,2153
20140217,43,2139
20140217,44,2815
20140217,45,2530
20140217,46,2815
20140217,47,3765
20140217,48,4408
20140217,49,561
20140217,99,65215
20140218,11,9551
20140218,26,3102
20140218,27,2761
20140218,28,2910
20140218,29,1476
20140218,30,1584
20140218,31,985
20140218,41,11336
20140218,42,1495
20140218,43,1557
20140218,44,2123
20140218,45,1857
20140218,46,2190
20140218,47,2738
20140218,48,3530
20140218,49,563
20140218,99,49770
20140219,11,8704
20140219,26,2928
20140219,27,2478
20140219,28,2674
20140219,29,1354
20140219,30,1537
20140219,31,915
20140219,41,10372
20140219,42,1558
20140219,43,1504
20140219,44,1974
20140219,45,1658
20140219,46,1991
20140219,47,2607
20140219,48,3333
20140219,49,485
20140219,99,46088
20140220,11,8439
20140220,26,2934
20140220,27,2403
20140220,28,2649
20140220,29,1300
20140220,30,1477
20140220,31,953
20140220,41,9953
20140220,42,1350
20140220,43,1423
20140220,44,1914
20140220,45,1653
20140220,46,1995
20140220,47,2566
20140220,48,3295
20140220,49,425
20140220,99,44750
20140221,11,9465
20140221,26,3294
20140221,27,2637
20140221,28,2817
20140221,29,1437
20140221,30,1636
20140221,31,961
20140221,41,10741
20140221,42,1590
20140221,43,1527
20140221,44,2197
20140221,45,1733
20140221,46,2157
20140221,47,2885
20140221,48,3560
20140221,49,511
20140221,99,49162
20140222,11,7648
20140222,26,2516
20140222,27,2344
20140222,28,2390
20140222,29,1205
20140222,30,1365
20140222,31,760
20140222,41,9285
20140222,42,1130
20140222,43,1239
20140222,44,1739
20140222,45,1388
20140222,46,1624
20140222,47,2281
20140222,48,2860
20140222,49,361
20140222,99,40149
20140223,11,355
20140223,26,146
20140223,27,70
20140223,28,129
20140223,29,42
20140223,30,103
20140223,31,76
20140223,41,730
20140223,42,46
20140223,43,110
20140223,44,160
20140223,45,71
20140223,46,104
20140223,47,80
20140223,48,162
20140223,49,37
20140223,99,2422
20140224,11,12499
20140224,26,4472
20140224,27,3733
20140224,28,3781
20140224,29,2015
20140224,30,2335
20140224,31,1416
20140224,41,14829
20140224,42,2236
20140224,43,2183
20140224,44,3076
20140224,45,2562
20140224,46,3175
20140224,47,3899
20140224,48,4709
20140224,49,721
20140224,99,67660
20140225,11,9912
20140225,26,3550
20140225,27,2935
20140225,28,3032
20140225,29,1519
20140225,30,1641
20140225,31,1074
20140225,41,11107
20140225,42,1667
20140225,43,1637
20140225,44,2223
20140225,45,1837
20140225,46,2364
20140225,47,3111
20140225,48,3729
20140225,49,572
20140225,99,51928
20140226,11,8865
20140226,26,2865
20140226,27,2407
20140226,28,2774
20140226,29,1326
20140226,30,1559
20140226,31,937
20140226,41,10900
20140226,42,1603
20140226,43,1571
20140226,44,2121
20140226,45,1743
20140226,46,2110
20140226,47,2667
20140226,48,3160
20140226,49,459
20140226,99,47079
20140227,11,8751
20140227,26,3282
20140227,27,2685
20140227,28,2778
20140227,29,1461
20140227,30,1577
20140227,31,1028
20140227,41,10560
20140227,42,1452
20140227,43,1460
20140227,44,2083
20140227,45,1782
20140227,46,2281
20140227,47,2776
20140227,48,3585
20140227,49,528
20140227,99,48084
20140228,11,10161
20140228,26,3530
20140228,27,2875
20140228,28,3056
20140228,29,1556
20140228,30,1773
20140228,31,997
20140228,41,11954
20140228,42,1747
20140228,43,1720
20140228,44,2372
20140228,45,1826
20140228,46,2350
20140228,47,3053
20140228,48,3752
20140228,49,542
20140228,99,53279
20140301,11,884
20140301,26,703
20140301,27,811
20140301,28,427
20140301,29,189
20140301,30,357
20140301,31,258
20140301,41,1655
20140301,42,286
20140301,43,383
20140301,44,594
20140301,45,370
20140301,46,666
20140301,47,675
20140301,48,738
20140301,49,151
20140301,99,9151
20140302,11,375
20140302,26,186
20140302,27,53
20140302,28,195
20140302,29,38
20140302,30,142
20140302,31,69
20140302,41,833
20140302,42,44
20140302,43,111
20140302,44,172
20140302,45,79
20140302,46,108
20140302,47,99
20140302,48,155
20140302,49,22
20140302,99,2683
20140303,11,13377
20140303,26,4594
20140303,27,3624
20140303,28,3912
20140303,29,2009
20140303,30,2304
20140303,31,1415
20140303,41,15538
20140303,42,2309
20140303,43,2270
20140303,44,3154
20140303,45,2405
20140303,46,3103
20140303,47,3755
20140303,48,4766
20140303,49,638
20140303,99,69204
20140304,11,9793
20140304,26,3453
20140304,27,2738
20140304,28,2949
20140304,29,1367
20140304,30,1636
20140304,31,1012
20140304,41,11387
20140304,42,1705
20140304,43,1596
20140304,44,2179
20140304,45,1724
20140304,46,2214
20140304,47,2623
20140304,48,3423
20140304,49,483
20140304,99,50297
20140305,11,8685
20140305,26,3231
20140305,27,2481
20140305,28,2592
20140305,29,1322
20140305,30,1475
20140305,31,946
20140305,41,10499
20140305,42,1369
20140305,43,1465
20140305,44,2066
20140305,45,1620
20140305,46,2198
20140305,47,2611
20140305,48,3422
20140305,49,509
20140305,99,46500
20140306,11,8612
20140306,26,3256
20140306,27,2399
20140306,28,2755
20140306,29,1350
20140306,30,1553
20140306,31,943
20140306,41,10435
20140306,42,1411
20140306,43,1416
20140306,44,2048
20140306,45,1685
20140306,46,2082
20140306,47,2581
20140306,48,3250
20140306,49,505
20140306,99,46293
20140307,11,10164
20140307,26,3479
20140307,27,2879
20140307,28,2899
20140307,29,1465
20140307,30,1698
20140307,31,1071
20140307,41,11884
20140307,42,1829
20140307,43,1659
20140307,44,2317
20140307,45,1839
20140307,46,2276
20140307,47,3004
20140307,48,3789
20140307,49,542
20140307,99,52808
20140308,11,9694
20140308,26,3416
20140308,27,2903
20140308,28,3122
20140308,29,1674
20140308,30,1837
20140308,31,1077
20140308,41,12164
20140308,42,1589
20140308,43,1749
20140308,44,2268
20140308,45,1725
20140308,46,2186
20140308,47,2830
20140308,48,3747
20140308,49,507
20140308,99,52512
20140309,11,442
20140309,26,154
20140309,27,70
20140309,28,169
20140309,29,66
20140309,30,123
20140309,31,86
20140309,41,876
20140309,42,55
20140309,43,99
20140309,44,191
20140309,45,91
20140309,46,127
20140309,47,125
20140309,48,144
20140309,49,49
20140309,99,2868
20140310,11,10072
20140310,26,2322
20140310,27,2421
20140310,28,2621
20140310,29,1767
20140310,30,1447
20140310,31,992
